participant_id	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
A00031578	NKI	BAS1	-568		0	0		0	0	Fail
A00031604	NKI	BAS1	-101	1	0.75				0.875	Artifact
A00031605	NKI	BAS1	-33			1	1	1	1	Pass
A00031625	NKI	BAS1	-30	1			1		1	Pass
A00031683	NKI	BAS1	-71	1			1		1	Pass
A00031794	NKI	BAS1	-40			1	1	1	1	Pass
A00031794	NKI	BAS2	-49	1	1	1	1	1	1	Pass
A00031794	NKI	FLU1	-63	1			1		1	Pass
A00031871	NKI	BAS1	-38		1	1		1	1	Pass
A00031872	NKI	BAS1	-50	1	1				1	Pass
A00031881	NKI	BAS1	-106	1	1				1	Pass
A00031881	NKI	FLU1	-88	1	0.75	1	1	1	0.95	Artifact
A00031881	NKI	FLU2	-98		0.75	1		1	0.916666667	Artifact
A00031881	NKI	TRT	-91	1			1		1	Pass
A00031893	NKI	BAS1	-36			1	0.75	1	0.916666667	Artifact
A00031894	NKI	BAS1	-47			1	1	1	1	Pass
A00032007	NKI	BAS1	-50		1	1		1	1	Pass
A00032008	NKI	BAS1	-282	0.5			0.75		0.625	Artifact
A00032010	NKI	BAS1	-144	1	1				1	Pass
A00032817	NKI	BAS1	-235	0	0.25				0.125	Artifact
A00032862	NKI	BAS1	-31		1	1		1	1	Pass
A00032875	NKI	BAS1	-43		1	1		1	1	Pass
A00032875	NKI	BAS2	-58	1			1		1	Pass
A00032875	NKI	BAS3	-54	1	0.875	1	1	1	0.975	Artifact
A00032875	NKI	FLU1	-83	1	0.75				0.875	Artifact
A00032876	NKI	BAS1	-35	1			1		1	Pass
A00033011	NKI	BAS1	-47	1	1				1	Pass
A00033021	NKI	BAS1	-72	1	1				1	Pass
A00033180	NKI	BAS1	-34		1	1		1	1	Pass
A00033231	NKI	BAS1	-87	1			1		1	Pass
A00033232	NKI	BAS1	-57	1	1	1	1	1	1	Pass
A00033247	NKI	BAS1	-37			1	1	1	1	Pass
A00033248	NKI	BAS1	-70		1	1		1	1	Pass
A00033589	NKI	BAS1	-41		1	1		1	1	Pass
A00033609	NKI	BAS1	-93	1	1	1	1	1	1	Pass
A00033640	NKI	BAS1	-65	1			1		1	Pass
A00033643	NKI	BAS1	-53	1			1		1	Pass
A00033647	NKI	BAS1	-73	1			1		1	Pass
A00033673	NKI	BAS1	-32		1	1		1	1	Pass
A00033673	NKI	BAS2	-64		1	1		1	1	Pass
A00033673	NKI	FLU1	-63		1	1		0.75	0.916666667	Artifact
A00033714	NKI	BAS1	-88			1	1	1	1	Pass
A00033714	NKI	FLU1	-74	1			1		1	Pass
A00033714	NKI	FLU2	-76	1			1		1	Pass
A00033714	NKI	TRT	-95			1	1	1	1	Pass
A00033734	NKI	BAS1	-80		1	1		1	1	Pass
A00033735	NKI	BAS1	-68	1	1				1	Pass
A00033747	NKI	BAS1	-58	1	1	1	1	1	1	Pass
A00033747	NKI	BAS2	-50	1	1	1	1	1	1	Pass
A00033748	NKI	BAS1	-41	0.5	0.75				0.625	Artifact
A00033752	NKI	BAS1	-73	1			1		1	Pass
A00033764	NKI	BAS1	-25			1	1	1	1	Pass
A00033832	NKI	BAS1	-30			1	1	1	1	Pass
A00033834	NKI	BAS1	-39	1			1		1	Pass
A00033849	NKI	BAS1	-34	1			1		1	Pass
A00033903	NKI	BAS1	-44	1	1	1	1	1	1	Pass
A00033963	NKI	BAS1	-49		1	1		1	1	Pass
A00033998	NKI	BAS1	-53		1	1		1	1	Pass
A00034073	NKI	BAS1	-47			1	1	1	1	Pass
A00034074	NKI	BAS1	-75	1	1				1	Pass
A00034093	NKI	BAS1	-46			1	1	1	1	Pass
A00034193	NKI	BAS1	-61	1	1				1	Pass
A00034193	NKI	BAS2	-73			1	1	1	1	Pass
A00034350	NKI	BAS1	-221		1	0.75		0.5	0.75	Artifact
A00034350	NKI	FLU1	-45	1	1	1	1	1	1	Pass
A00034350	NKI	TRT	-64	1			1		1	Pass
A00034385	NKI	BAS1	-32	1	1	1	1	1	1	Pass
A00034400	NKI	BAS1	-28	1	1				1	Pass
A00034827	NKI	BAS1	-69	1			1		1	Pass
A00034854	NKI	BAS1	-36			1	1	1	1	Pass
A00034854	NKI	BAS2	-43	1	1				1	Pass
A00034987	NKI	BAS1	-33	1			1		1	Pass
A00035036	NKI	BAS1	-90	1			1		1	Pass
A00035054	NKI	BAS1	-133	0.75	1	1	1	0.5	0.85	Artifact
A00035072	NKI	BAS1	-24	1			1		1	Pass
A00035072	NKI	BAS2	-27	1			1		1	Pass
A00035291	NKI	BAS1	-83	1	1	1	1	1	1	Pass
A00035291	NKI	FLU1	-94	1			1		1	Pass
A00035292	NKI	BAS1	-101	1	1				1	Pass
A00035292	NKI	FLU1	-94	1	1				1	Pass
A00035292	NKI	FLU2	-83	1	1				1	Pass
A00035292	NKI	TRT	-99	1	1	1	1	1	1	Pass
A00035337	NKI	BAS1	-55	1	1	1	1	1	1	Pass
A00035363	NKI	BAS1	-158			1	0.5	0.75	0.75	Artifact
A00035364	NKI	BAS1	-102			1	1	1	1	Pass
A00035364	NKI	FLU1	-99	1			1		1	Pass
A00035377	NKI	BAS1	-81			1	1	1	1	Pass
A00035377	NKI	FLU1	-226	0	0.25				0.125	Artifact
A00035377	NKI	FLU2	-66	1			1		1	Pass
A00035377	NKI	TRT	-78		1	1		1	1	Pass
A00035378	NKI	BAS1	-22			1	1	1	1	Pass
A00035437	NKI	BAS1	-57	1	0.75				0.875	Artifact
A00035440	NKI	BAS1	-48			1	1	1	1	Pass
A00035504	NKI	BAS1	-45	1			1		1	Pass
A00035535	NKI	BAS1	-33	1	1				1	Pass
A00035553	NKI	BAS1	-62	1	1	1	1	1	1	Pass
A00035561	NKI	BAS1	-208			0.75	0.75	0.25	0.583333333	Artifact
A00035561	NKI	FLU1	-128	1			1		1	Pass
A00035561	NKI	FLU2	-111	1	1				1	Pass
A00035562	NKI	BAS1	-64	1	1	1	0.5	1	0.9	Artifact
A00035606	NKI	BAS1	-25			1	1	1	1	Pass
A00035608	NKI	BAS1	-58			1	1	1	1	Pass
A00035625	NKI	BAS1	-36			1	1	1	1	Pass
A00035633	NKI	BAS1	-52	1	0.75	0.75	0.75	1	0.85	Artifact
A00035699	NKI	BAS1	-52			1	1	1	1	Pass
A00035744	NKI	BAS1	-76	1	1				1	Pass
A00035765	NKI	BAS1	-48			1	1	1	1	Pass
A00035798	NKI	BAS1	-44	1	1				1	Pass
A00035827	NKI	BAS1	-45	1	1	1	1	1	1	Pass
A00035827	NKI	BAS2	-46	1			1		1	Pass
A00035840	NKI	BAS1	-37	1			1		1	Pass
A00035840	NKI	BAS2	-31	1	1				1	Pass
A00035869	NKI	BAS1	-239		0	1		0.75	0.583333333	Artifact
A00035879	NKI	BAS1	-102	1	1				1	Pass
A00035881	NKI	BAS1	-42			1	1	1	1	Pass
A00035926	NKI	BAS1	-98	1	1	1	1	1	1	Pass
A00035940	NKI	BAS1	-70			1	1	1	1	Pass
A00035940	NKI	FLU1	-57	1			1		1	Pass
